day,day_ratio,antimuslim_FALSE,antimuslim_TRUE,total_n
2019-08-31T00:00:00Z,0.012069115220977686,11378,139,11517
2019-09-01T00:00:00Z,0.009970541113235826,478902,4823,483725
2019-09-02T00:00:00Z,0.010771871189196513,657075,7155,664230
2019-09-03T00:00:00Z,0.011186181498839827,966080,10929,977009
2019-09-04T00:00:00Z,0.011442275741508589,957950,11088,969038
2019-09-05T00:00:00Z,0.010720427547159827,747836,8104,755940
2019-09-06T00:00:00Z,0.014229656078406714,580046,8373,588419
2019-09-07T00:00:00Z,0.013145927156097758,535994,7140,543134
2019-09-08T00:00:00Z,0.014494233467542458,559786,8233,568019
2019-09-09T00:00:00Z,0.012184881510049603,658766,8126,666892
2019-09-10T00:00:00Z,0.009116794640536415,507028,4665,511693
2019-09-11T00:00:00Z,0.014017568044112461,615115,8745,623860
2019-09-12T00:00:00Z,0.01223719685310651,607807,7530,615337
2019-09-13T00:00:00Z,0.01304073428732147,431619,5703,437322
2019-09-14T00:00:00Z,0.027063195284292393,332255,9242,341497
2019-09-15T00:00:00Z,0.014882716447866477,335726,5072,340798
2019-09-16T00:00:00Z,0.01121072427147267,407750,4623,412373
2019-09-17T00:00:00Z,0.010991168897259951,357589,3974,361563
2019-09-18T00:00:00Z,0.008526715613996618,393370,3383,396753
2019-09-19T00:00:00Z,0.01147878495105989,343780,3992,347772
2019-09-20T00:00:00Z,0.017357947890366744,302017,5335,307352
2019-09-21T00:00:00Z,0.01692724312560849,240320,4138,244458
2019-09-22T00:00:00Z,0.015563964636608916,290069,4586,294655
2019-09-23T00:00:00Z,0.02183645976129764,413144,9223,422367
2019-09-24T00:00:00Z,0.011936081678984783,630201,7613,637814
2019-09-25T00:00:00Z,0.014291301062735167,519226,7528,526754
2019-09-26T00:00:00Z,0.01541568134571512,495879,7764,503643
2019-09-27T00:00:00Z,0.010790465799482007,477807,5212,483019
2019-09-28T00:00:00Z,0.010887201125175808,439537,4838,444375
2019-09-29T00:00:00Z,0.020677830787580315,407257,8599,415856
2019-09-30T00:00:00Z,0.012747212451932588,409238,5284,414522
